Phone Number,Day Mins,Intl Mins,CustServ Calls,Churn
382-4657,265.1,10,1,FALSE
371-7191,161.6,13.7,1,FALSE
358-1921,243.4,12.2,0,FALSE
375-9999,299.4,6.6,2,FALSE
330-6626,166.7,10.1,3,FALSE
391-8027,223.4,6.3,0,FALSE
355-9993,218.2,7.5,3,FALSE
329-9001,157,7.1,0,FALSE
335-4719,184.5,8.7,1,FALSE
330-8173,258.6,11.2,0,FALSE
329-6603,129.1,12.7,4,TRUE
344-9403,187.7,9.1,0,FALSE
363-1107,128.8,11.2,1,FALSE
394-8006,156.6,12.3,3,FALSE
366-9238,120.7,13.1,4,FALSE
351-7269,332.9,5.4,4,TRUE
350-8884,196.4,13.8,1,FALSE
386-2923,190.7,8.1,3,FALSE
356-2992,189.7,10,1,FALSE
373-2782,224.4,13,1,FALSE
396-5800,155.1,10.6,0,FALSE
393-7984,62.4,5.7,5,TRUE
358-1958,183,9.5,0,FALSE
350-2565,110.4,7.7,2,FALSE
343-4696,81.1,10.3,0,FALSE
331-3698,124.3,15.5,3,FALSE
357-3817,213,9.5,0,FALSE
418-6412,134.3,14.7,3,FALSE
353-2630,190,6.3,0,FALSE
410-7789,119.3,11.1,1,FALSE
416-8428,84.8,14.2,2,FALSE
370-3359,226.1,10.3,1,FALSE
383-1121,212,12.6,3,FALSE
360-1596,249.6,11.8,1,TRUE
395-2854,176.8,8.3,0,FALSE
362-1407,220,14.7,3,FALSE
341-9764,146.3,14.5,0,FALSE
353-3305,130.8,10,1,FALSE
402-1381,203.9,10.5,3,FALSE
332-9891,140.4,11.1,1,FALSE
372-9976,126.3,9.4,3,FALSE
383-6029,173.1,14.6,0,TRUE
353-7289,124.8,10,2,FALSE
390-7274,85.8,9.2,3,FALSE
352-1237,154,3.5,1,FALSE
353-3061,120.9,8.5,2,FALSE
363-5450,211.3,13.2,3,FALSE
364-1995,187,7.4,2,FALSE
398-1294,159.1,8.8,5,TRUE
405-7146,133.2,11,1,FALSE
413-4957,191.9,7.8,3,FALSE
420-5645,220.6,6.8,1,FALSE
349-4396,186.1,11.4,2,FALSE
404-3211,160.2,9.3,2,FALSE
353-3759,151,9.7,5,TRUE
363-5947,175.5,10.2,1,FALSE
340-5121,126.9,8,1,FALSE
370-7574,198.4,5.8,3,TRUE
403-9733,148.8,12.1,3,FALSE
355-7251,229.3,12,1,FALSE
359-5893,192.1,11.4,1,FALSE
405-3371,268.6,11.6,2,FALSE
344-5117,193.7,14.6,2,FALSE
332-8160,180.7,12.6,3,FALSE
359-4081,131.2,8.2,2,FALSE
352-8305,148.1,6.2,2,FALSE
329-9847,251.5,9.3,0,FALSE
365-9011,125.2,8.3,0,FALSE
338-9472,211.6,7.8,1,FALSE
374-8042,178.9,13.8,4,TRUE
359-1231,241.8,11.8,3,FALSE
413-7170,224.9,12.1,0,FALSE
415-2935,248.6,8,3,FALSE
399-4246,203.4,7.3,1,FALSE
362-5889,235.8,12,0,FALSE
350-8921,157.1,6.1,1,FALSE
374-5353,300.3,11.7,0,TRUE
360-1171,61.6,8.2,4,TRUE
355-8887,214.1,8.2,2,FALSE
333-1967,170.2,15,1,FALSE
354-4577,201.1,13.2,1,FALSE
331-7425,215.4,12.6,3,FALSE
419-2637,165.6,11,3,FALSE
411-1530,249.5,9.8,1,FALSE
395-3026,210.6,12.4,2,TRUE
388-6441,179.3,8.6,0,FALSE
402-1251,157.9,8,4,TRUE
412-9997,214.3,12,1,FALSE
346-7302,154.1,10.9,2,FALSE
